 Mortalidade - Brasil - Dados preliminares
Óbitos p/Residênc por Município e Faixa Etária
Causas evitáveis - 0 a 4 anos: 1.1. Reduzível pelas ações de imunização, 1.2.1 Reduzíveis atenção à mulher na gestação, 1.2.2 Reduz por adequada atenção à mulher no parto, 1.2.3 Reduzíveis adequada atenção ao recém-nascido, 1.3. Reduz ações diagnóstico e tratamento adequado, 1.4. Reduz. ações promoção à saúde vinc. Aç. At
Faixa Etária: Menor 1 ano, 1 a 4 anos, 5 a 9 anos
Período:2017
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"Total"
"353910 Pirapora do Bom Jesus";4;-;-;4
"353920 Pirapozinho";5;-;-;5
"353930 Pirassununga";7;3;-;10
"353950 Pitangueiras";4;-;-;4
"353960 Planalto";-;1;1;2
"353970 Platina";1;-;-;1
"353980 Poá";21;-;1;22
"354000 Pompéia";4;-;-;4
"354020 Pontal";1;-;-;1
"354060 Porto Feliz";3;-;-;3
"354070 Porto Ferreira";1;3;-;4
"354075 Potim";4;-;-;4
"354090 Pradópolis";1;-;-;1
"354100 Praia Grande";44;3;-;47
"354110 Presidente Alves";-;1;-;1
"354120 Presidente Bernardes";3;-;-;3
"354130 Presidente Epitácio";2;-;1;3
"354140 Presidente Prudente";25;1;3;29
"354150 Presidente Venceslau";3;-;-;3
"354160 Promissão";5;-;1;6
"354165 Quadra";1;-;-;1
"354170 Quatá";1;-;-;1
"354200 Quintana";2;1;-;3
"354220 Rancharia";4;-;-;4
"354240 Regente Feijó";1;-;-;1
"354260 Registro";4;-;-;4
"354270 Restinga";2;-;-;2
"354290 Ribeirão Bonito";-;-;1;1
"354300 Ribeirão Branco";6;-;-;6
"354320 Ribeirão do Sul";1;-;-;1
"354330 Ribeirão Pires";5;1;1;7
"354340 Ribeirão Preto";44;8;-;52
"354370 Rincão";1;-;-;1
"354380 Rinópolis";3;-;-;3
"354390 Rio Claro";14;1;-;15
"354400 Rio das Pedras";1;-;1;2
"354410 Rio Grande da Serra";3;-;-;3
"354420 Riolândia";1;-;1;2
"354350 Riversul";1;-;-;1
"354425 Rosana";2;-;-;2
"354430 Roseira";5;-;-;5
"354440 Rubiácea";1;-;-;1
"354460 Sabino";1;-;-;1
"354500 Salesópolis";1;-;-;1
"354510 Salmourão";2;-;-;2
"354515 Saltinho";1;-;-;1
"354520 Salto";8;-;-;8
"354530 Salto de Pirapora";5;-;-;5
"354540 Salto Grande";1;-;-;1
"354560 Santa Adélia";1;-;-;1
"354580 Santa Bárbara d'Oeste";16;2;-;18
"354600 Santa Branca";7;-;-;7
"354630 Santa Cruz das Palmeiras";3;-;-;3
"354640 Santa Cruz do Rio Pardo";5;1;-;6
"354660 Santa Fé do Sul";2;-;-;2
"354670 Santa Gertrudes";1;-;-;1
"354680 Santa Isabel";4;1;-;5
"354690 Santa Lúcia";2;-;-;2
"354700 Santa Maria da Serra";-;1;-;1
"354750 Santa Rita do Passa Quatro";2;-;-;2
"354760 Santa Rosa de Viterbo";-;-;1;1
"354730 Santana de Parnaíba";13;1;2;16
"354770 Santo Anastácio";3;-;-;3
"354780 Santo André";42;4;1;47
"354790 Santo Antônio da Alegria";2;-;-;2
"354800 Santo Antônio de Posse";2;-;-;2
"354805 Santo Antônio do Aracanguá";3;-;-;3
"354810 Santo Antônio do Jardim";-;2;-;2
"354820 Santo Antônio do Pinhal";1;-;-;1
"354830 Santo Expedito";1;-;-;1
"354840 Santópolis do Aguapeí";1;-;-;1
"354850 Santos";34;4;1;39
"354860 São Bento do Sapucaí";1;-;-;1
"354870 São Bernardo do Campo";72;7;3;82
"354880 São Caetano do Sul";5;1;1;7
"354890 São Carlos";16;-;-;16
"354910 São João da Boa Vista";10;2;-;12
"354930 São João do Pau d'Alho";1;-;-;1
"354940 São Joaquim da Barra";3;-;-;3
"354950 São José da Bela Vista";2;-;-;2
"354970 São José do Rio Pardo";2;-;-;2
"354980 São José do Rio Preto";25;3;2;30
"354990 São José dos Campos";57;3;2;62
"354995 São Lourenço da Serra";-;-;1;1
"355010 São Manuel";5;1;2;8
"355020 São Miguel Arcanjo";4;-;1;5
"355030 São Paulo";1273;101;53;1427
"355050 São Pedro do Turvo";2;-;-;2
"355060 São Roque";8;4;1;13
"355070 São Sebastião";5;2;1;8
"355090 São Simão";1;-;-;1
"355100 São Vicente";53;7;1;61
"355120 Sarutaiá";1;-;-;1
"355140 Serra Azul";1;-;-;1
"355150 Serrana";4;1;-;5
"355170 Sertãozinho";17;4;-;21
"355180 Sete Barras";1;-;-;1
"355190 Severínia";3;1;-;4
"355200 Silveiras";1;-;-;1
"355210 Socorro";4;1;-;5
"355220 Sorocaba";60;1;1;62
"355230 Sud Mennucci";1;-;-;1
"355240 Sumaré";16;3;-;19
"355250 Suzano";36;7;1;44
"355260 Tabapuã";-;1;-;1
"355270 Tabatinga";2;-;-;2
"355280 Taboão da Serra";41;4;1;46
"355300 Taguaí";1;-;-;1
"355320 Taiúva";1;-;-;1
"355330 Tambaú";3;-;-;3
"355340 Tanabi";1;1;-;2
"355370 Taquaritinga";3;-;1;4
"355380 Taquarituba";5;3;-;8
"355385 Taquarivaí";1;-;-;1
"355395 Tarumã";1;-;-;1
"355400 Tatuí";18;2;-;20
"355410 Taubaté";33;3;1;37
"355430 Teodoro Sampaio";4;-;-;4
"355440 Terra Roxa";1;-;-;1
"355450 Tietê";3;-;-;3
"355460 Timburi";1;-;-;1
"355470 Torrinha";2;-;-;2
"355480 Tremembé";5;-;-;5
"355495 Tuiuti";1;-;-;1
"355500 Tupã";6;1;-;7
"355520 Turiúba";-;1;-;1
"355535 Ubarana";1;-;-;1
"355540 Ubatuba";12;-;-;12
"355600 Urupês";1;-;-;1
"355610 Valentim Gentil";1;-;1;2
"355620 Valinhos";5;-;1;6
"355630 Valparaíso";2;-;-;2
"355635 Vargem";1;-;-;1
"355640 Vargem Grande do Sul";5;-;-;5
"355645 Vargem Grande Paulista";3;-;-;3
"355650 Várzea Paulista";11;1;2;14
"355660 Vera Cruz";1;1;-;2
"355670 Vinhedo";8;-;-;8
"355680 Viradouro";1;-;-;1
"355695 Vitória Brasil";1;-;-;1
"355700 Votorantim";16;-;-;16
"355710 Votuporanga";7;-;3;10
"350000 Município ignorado - SP";2;-;-;2
"410010 Abatiá";1;-;-;1
"410030 Agudos do Sul";1;-;-;1
"410040 Almirante Tamandaré";14;1;3;18
"410070 Alto Piquiri";1;-;-;1
"410050 Altônia";2;-;-;2
"410080 Alvorada do Sul";1;-;-;1
"410110 Andirá";1;-;-;1
"410120 Antonina";2;-;-;2
"410140 Apucarana";18;1;2;21
"410150 Arapongas";8;4;-;12
"410160 Arapoti";3;-;-;3
"410170 Araruna";1;-;-;1
"410180 Araucária";18;1;1;20
"410200 Assis Chateaubriand";-;-;1;1
"410210 Astorga";3;-;-;3
"410230 Balsa Nova";-;-;1;1
"410240 Bandeirantes";3;2;-;5
"410250 Barbosa Ferraz";1;-;-;1
"410270 Barra do Jacaré";1;-;-;1
"410280 Bela Vista do Paraíso";1;-;-;1
"410290 Bituruna";2;1;-;3
"410300 Boa Esperança";1;-;-;1
"410304 Boa Ventura de São Roque";1;-;-;1
"410310 Bocaiúva do Sul";2;-;-;2
"410315 Bom Jesus do Sul";1;-;-;1
"410320 Bom Sucesso";1;-;-;1
"410322 Bom Sucesso do Sul";1;-;-;1
"410337 Brasilândia do Sul";1;-;-;1
"410340 Cafeara";1;-;-;1
"410347 Cafezal do Sul";1;-;-;1
"410360 Cambará";1;-;-;1
"410370 Cambé";10;-;1;11
"410380 Cambira";2;-;-;2
"410390 Campina da Lagoa";3;-;-;3
"410400 Campina Grande do Sul";7;-;-;7
"410410 Campo do Tenente";1;1;-;2
"410420 Campo Largo";12;-;-;12
"410425 Campo Magro";2;-;-;2
"410430 Campo Mourão";9;-;1;10
"410442 Candói";1;1;-;2
"410445 Cantagalo";2;-;-;2
"410450 Capanema";1;1;-;2
"410460 Capitão Leônidas Marques";2;-;-;2
"410465 Carambeí";4;-;-;4
"410470 Carlópolis";1;-;-;1
"410480 Cascavel";27;4;3;34
"410490 Castro";8;1;1;10
"410500 Catanduvas";2;2;-;4
"410510 Centenário do Sul";1;-;-;1
"410520 Cerro Azul";1;-;-;1
"410530 Céu Azul";1;-;-;1
"410540 Chopinzinho";3;-;-;3
"410550 Cianorte";7;-;-;7
"410570 Clevelândia";3;-;-;3
"410580 Colombo";32;4;1;37
"410590 Colorado";5;-;-;5
"410600 Congonhinhas";5;-;-;5
"410610 Conselheiro Mairinck";1;-;-;1
"410630 Corbélia";1;1;-;2
"410640 Cornélio Procópio";5;-;-;5
"410650 Coronel Vivida";2;-;1;3
"410660 Cruzeiro do Oeste";2;-;-;2
"410670 Cruzeiro do Sul";1;-;-;1
"410690 Curitiba";129;11;3;143
"410700 Curiúva";1;-;-;1
"410712 Diamante do Sul";1;1;1;3
"410720 Dois Vizinhos";1;-;-;1
"410725 Douradina";1;1;-;2
"412863 Doutor Ulysses";-;1;-;1
"410753 Entre Rios do Oeste";2;-;-;2
"410754 Espigão Alto do Iguaçu";-;1;-;1
"410760 Faxinal";1;-;-;1
"410765 Fazenda Rio Grande";17;1;-;18
"410773 Fernandes Pinheiro";2;-;-;2
"410780 Floraí";-;1;-;1
"410800 Florestópolis";1;1;-;2
"410830 Foz do Iguaçu";35;2;1;38
"410845 Foz do Jordão";-;1;-;1
"410832 Francisco Alves";1;-;-;1
"410840 Francisco Beltrão";13;-;-;13
"410860 Goioerê";4;-;-;4
"410870 Grandes Rios";2;-;-;2
"410880 Guaíra";2;1;-;3
"410900 Guapirama";1;-;-;1
"410920 Guaraci";2;-;-;2
"410930 Guaraniaçu";1;-;1;2
"410940 Guarapuava";23;1;-;24
"410950 Guaraqueçaba";1;-;-;1
"410960 Guaratuba";4;-;1;5
"410965 Honório Serpa";1;-;-;1
"410970 Ibaiti";-;-;1;1
"410980 Ibiporã";8;-;-;8
"410990 Icaraíma";-;1;1;2
"411007 Imbaú";2;-;-;2
"411010 Imbituva";5;1;1;7
"411020 Inácio Martins";-;1;-;1
"411040 Indianópolis";1;-;-;1
"411050 Ipiranga";1;-;1;2
"411060 Iporã";1;1;-;2
"411070 Irati";8;2;-;10
"411080 Iretama";2;1;-;3
"411095 Itaipulândia";1;-;-;1
"411100 Itambaracá";1;-;-;1
"411110 Itambé";1;-;-;1
"411120 Itapejara d'Oeste";-;1;-;1
"411125 Itaperuçu";3;-;-;3
"411150 Ivaiporã";-;-;1;1
"411180 Jacarezinho";2;-;-;2
"411190 Jaguapitã";4;-;-;4
"411200 Jaguariaíva";4;-;1;5
"411210 Jandaia do Sul";1;-;-;1
"411230 Japira";1;1;1;3
"411240 Japurá";1;-;-;1
"411270 Jataizinho";5;-;-;5
"411275 Jesuítas";2;-;-;2
"411280 Joaquim Távora";2;-;-;2
"411300 Jussara";1;-;-;1
"411320 Lapa";3;-;3;6
"411330 Laranjeiras do Sul";6;1;-;7
"411340 Leópolis";2;-;-;2
"411345 Lindoeste";-;1;1;2
"411350 Loanda";1;-;-;1
"411360 Lobato";-;1;-;1
"411370 Londrina";61;4;-;65
"411373 Luiziana";1;-;-;1
"411380 Lupionópolis";1;-;-;1
"411390 Mallet";1;-;-;1
"411410 Mandaguaçu";2;-;-;2
"411420 Mandaguari";1;-;-;1
"411430 Mandirituba";5;-;-;5
"411450 Manoel Ribas";1;-;-;1
"411460 Marechal Cândido Rondon";5;-;1;6
"411470 Maria Helena";1;-;-;1
"411480 Marialva";4;1;-;5
"411490 Marilândia do Sul";2;-;-;2
"411510 Mariluz";4;-;-;4
"411520 Maringá";35;1;-;36
"411535 Maripá";-;1;-;1
"411540 Marmeleiro";4;-;-;4
"411550 Marumbi";2;-;-;2
"411560 Matelândia";1;-;-;1
"411570 Matinhos";6;-;-;6
"411575 Mauá da Serra";-;-;1;1
"411580 Medianeira";6;-;1;7
"411605 Missal";1;-;-;1
"411610 Moreira Sales";1;1;-;2
"411620 Morretes";3;2;-;5
"411630 Munhoz de Melo";1;-;-;1
"411660 Nova América da Colina";1;-;-;1
"411680 Nova Cantu";1;-;-;1
"411690 Nova Esperança";2;-;-;2
"411695 Nova Esperança do Sudoeste";2;-;-;2
"411700 Nova Fátima";1;-;-;1
"411705 Nova Laranjeiras";-;2;1;3
"411710 Nova Londrina";3;-;-;3
"411725 Nova Prata do Iguaçu";1;-;-;1
"411722 Nova Santa Rosa";2;-;-;2
"411730 Ortigueira";2;1;-;3
"411745 Ouro Verde do Oeste";1;-;-;1
"411750 Paiçandu";8;2;-;10
"411760 Palmas";9;-;2;11
"411770 Palmeira";2;-;1;3
"411780 Palmital";1;-;1;2
"411790 Palotina";5;-;-;5
"411800 Paraíso do Norte";1;-;-;1
"411810 Paranacity";2;-;-;2
"411820 Paranaguá";10;1;1;12
"411840 Paranavaí";1;1;-;2
"411850 Pato Branco";10;-;-;10
"411870 Paulo Frontin";-;1;-;1
"411880 Peabiru";3;-;-;3
"411885 Perobal";1;-;1;2
"411910 Piên";-;1;-;1
"411915 Pinhais";14;1;1;16
"411930 Pinhão";2;1;-;3
"411950 Piraquara";14;-;1;15
"411960 Pitanga";2;-;1;3
"411980 Planalto";1;-;1;2
"411990 Ponta Grossa";50;3;2;55
"411995 Pontal do Paraná";1;-;1;2
"412000 Porecatu";2;-;-;2
"412010 Porto Amazonas";-;1;-;1
"412033 Prado Ferreira";-;1;-;1
"412040 Presidente Castelo Branco";1;-;-;1
"412060 Prudentópolis";4;2;-;6
"412065 Quarto Centenário";1;1;-;2
"412080 Quatro Barras";4;-;-;4
"412090 Quedas do Iguaçu";5;-;-;5
"412110 Quinta do Sol";1;-;-;1
"412120 Quitandinha";1;-;-;1
"412125 Ramilândia";1;-;-;1
"412140 Realeza";2;-;1;3
"412150 Rebouças";3;-;-;3
"412160 Renascença";1;-;-;1
"412170 Reserva";3;-;-;3
"412175 Reserva do Iguaçu";1;-;-;1
"412180 Ribeirão Claro";1;1;-;2
"412190 Ribeirão do Pinhal";2;-;-;2
"412215 Rio Bonito do Iguaçu";3;-;-;3
"412220 Rio Branco do Sul";4;-;-;4
"412230 Rio Negro";3;-;-;3
"412240 Rolândia";14;-;-;14
"412250 Roncador";2;-;-;2
"412260 Rondon";1;-;-;1
"412265 Rosário do Ivaí";-;1;-;1
"412270 Sabáudia";1;-;-;1
"412310 Santa Amélia";1;-;-;1
"412330 Santa Cruz de Monte Castelo";1;-;-;1
"412350 Santa Helena";7;-;-;7
"412370 Santa Isabel do Ivaí";3;-;-;3
"412380 Santa Izabel do Oeste";1;-;-;1
"412385 Santa Maria do Oeste";1;-;-;1
"412402 Santa Tereza do Oeste";1;-;-;1
"412405 Santa Terezinha de Itaipu";2;-;-;2
"412400 Santana do Itararé";1;-;-;1
"412410 Santo Antônio da Platina";3;1;-;4
"412430 Santo Antônio do Paraíso";2;-;-;2
"412440 Santo Antônio do Sudoeste";-;1;-;1
"412450 Santo Inácio";1;-;-;1
"412460 São Carlos do Ivaí";3;-;-;3
"412470 São Jerônimo da Serra";1;1;-;2
"412480 São João";3;-;-;3
"412500 São João do Ivaí";5;-;-;5
"412510 São João do Triunfo";3;-;-;3
"412520 São Jorge d'Oeste";1;-;-;1
"412530 São Jorge do Ivaí";-;1;-;1
"412535 São Jorge do Patrocínio";1;-;-;1
"412540 São José da Boa Vista";1;-;-;1
"412545 São José das Palmeiras";1;-;-;1
"412550 São José dos Pinhais";14;5;3;22
"412555 São Manoel do Paraná";1;-;-;1
"412560 São Mateus do Sul";6;2;1;9
"412570 São Miguel do Iguaçu";4;1;-;5
"412575 São Pedro do Iguaçu";-;1;-;1
"412580 São Pedro do Ivaí";1;-;-;1
"412625 Sarandi";8;2;1;11
"412635 Serranópolis do Iguaçu";1;-;-;1
"412640 Sertaneja";1;-;-;1
"412650 Sertanópolis";2;-;-;2
"412660 Siqueira Campos";2;-;-;2
"412667 Tamarana";3;-;-;3
"412680 Tapejara";4;-;-;4
"412700 Teixeira Soares";1;-;-;1
"412710 Telêmaco Borba";5;-;-;5
"412730 Terra Rica";-;1;-;1
"412740 Terra Roxa";2;1;-;3
"412750 Tibagi";1;-;-;1
"412760 Tijucas do Sul";3;-;-;3
"412770 Toledo";14;1;1;16
"412780 Tomazina";1;-;-;1
"412785 Três Barras do Paraná";-;-;1;1
"412788 Tunas do Paraná";1;-;-;1
"412796 Turvo";1;-;-;1
"412800 Ubiratã";1;-;2;3
"412810 Umuarama";16;-;2;18
"412820 União da Vitória";6;1;-;7
"412840 Uraí";2;-;-;2
"412853 Ventania";1;-;-;1
"412860 Verê";1;-;-;1
"412870 Vitorino";2;-;-;2
"412850 Wenceslau Braz";1;-;-;1
"420010 Abelardo Luz";4;-;-;4
"420020 Agrolândia";2;-;1;3
"420040 Água Doce";2;-;-;2
"420060 Águas Mornas";1;-;-;1
"420070 Alfredo Wagner";1;-;-;1
"420080 Anchieta";1;-;-;1
"420090 Angelina";1;-;-;1
"420120 Antônio Carlos";1;-;-;1
"420130 Araquari";3;-;-;3
"420140 Araranguá";6;-;-;6
"420180 Atalanta";1;-;-;1
"420200 Balneário Camboriú";10;3;-;13
"420207 Balneário Gaivota";2;-;-;2
"421280 Balneário Piçarras";2;1;-;3
"422000 Balneário Rincão";2;-;-;2
"420210 Barra Velha";3;-;-;3
"420215 Belmonte";3;-;-;3
"420220 Benedito Novo";1;1;-;2
"420230 Biguaçu";7;1;-;8
"420240 Blumenau";27;3;-;30
"420243 Bocaina do Sul";-;1;-;1
"420260 Bom Retiro";3;-;-;3
"420245 Bombinhas";1;-;-;1
"420280 Braço do Norte";4;1;-;5
"420285 Braço do Trombudo";1;-;-;1
"420290 Brusque";13;1;-;14
"420300 Caçador";6;2;-;8
"420310 Caibi";1;-;-;1
"420315 Calmon";1;1;-;2
"420320 Camboriú";11;-;-;11
"420330 Campo Alegre";2;1;-;3
"420340 Campo Belo do Sul";1;-;-;1
"420350 Campo Erê";4;1;-;5
"420360 Campos Novos";3;1;-;4
"420380 Canoinhas";4;-;-;4
"420390 Capinzal";3;-;-;3
"420395 Capivari de Baixo";2;-;-;2
"420400 Catanduvas";1;-;-;1
"420410 Caxambu do Sul";2;-;-;2
"420420 Chapecó";23;-;2;25
"420425 Cocal do Sul";3;-;-;3
"420430 Concórdia";9;-;-;9
"420435 Cordilheira Alta";1;-;1;2
"420440 Coronel Freitas";2;-;-;2
"420455 Correia Pinto";1;-;-;1
"420450 Corupá";1;-;-;1
"420460 Criciúma";14;3;1;18
"420470 Cunha Porã";3;-;-;3
"420480 Curitibanos";5;1;-;6
"420490 Descanso";1;-;-;1
"420510 Dona Emma";4;-;-;4
"420520 Erval Velho";1;-;-;1
"420530 Faxinal dos Guedes";1;-;-;1
"420540 Florianópolis";28;5;-;33
"420543 Formosa do Sul";1;-;-;1
"420545 Forquilhinha";2;-;-;2
"420550 Fraiburgo";6;1;-;7
"420555 Frei Rogério";-;-;2;2
"420570 Garopaba";2;-;-;2
"420580 Garuva";2;-;-;2
"420600 Governador Celso Ramos";1;-;-;1
"420620 Gravatal";3;1;-;4
"420630 Guabiruba";1;-;-;1
"420640 Guaraciaba";1;-;-;1
"420650 Guaramirim";3;-;1;4
"420660 Guarujá do Sul";2;-;-;2
"420670 Herval d'Oeste";3;-;-;3
"420690 Ibirama";4;-;-;4
"420700 Içara";7;-;-;7
"420710 Ilhota";1;-;-;1
"420720 Imaruí";1;-;-;1
"420730 Imbituba";2;-;-;2
"420750 Indaial";2;1;-;3
"420770 Ipumirim";1;-;-;1
"420780 Irani";-;-;1;1
"420810 Itaiópolis";1;-;-;1
"420820 Itajaí";21;5;-;26
"420830 Itapema";8;1;-;9
"420840 Itapiranga";-;1;1;2
"420845 Itapoá";1;-;1;2
"420850 Ituporanga";2;1;-;3
"420880 Jaguaruna";2;-;-;2
"420890 Jaraguá do Sul";14;4;-;18
"420900 Joaçaba";1;-;1;2
"420910 Joinville";42;2;2;46
"420917 Jupiá";1;-;-;1
"420920 Lacerdópolis";-;1;-;1
"420930 Lages";18;2;2;22
"420940 Laguna";2;-;-;2
"420960 Lauro Muller";1;-;-;1
"420985 Lindóia do Sul";1;-;-;1
"420990 Lontras";2;1;1;4
"421010 Mafra";1;2;1;4
"421020 Major Gercino";1;-;-;1
"421030 Major Vieira";1;-;-;1
"421050 Maravilha";1;-;-;1
"421060 Massaranduba";2;-;-;2
"421070 Matos Costa";2;-;-;2
"421080 Meleiro";1;-;-;1
"421090 Modelo";1;-;-;1
"421100 Mondaí";2;-;-;2
"421110 Monte Castelo";2;-;-;2
"421120 Morro da Fumaça";2;1;-;3
"421125 Morro Grande";1;-;-;1
"421130 Navegantes";8;3;-;11
"421145 Nova Itaberaba";1;-;-;1
"421150 Nova Trento";1;-;-;1
"421170 Orleans";1;2;-;3
"421175 Otacílio Costa";4;1;-;5
"421180 Ouro";1;-;-;1
"421185 Ouro Verde";1;-;-;1
"421190 Palhoça";15;1;1;17
"421200 Palma Sola";1;-;-;1
"421220 Papanduva";4;1;-;5
"421225 Passo de Torres";2;-;-;2
"421230 Paulo Lopes";-;1;1;2
"421250 Penha";-;-;1;1
"421265 Pescaria Brava";-;1;1;2
"421290 Pinhalzinho";1;-;-;1
"421300 Pinheiro Preto";1;-;-;1
"421320 Pomerode";5;2;-;7
"421330 Ponte Alta";2;-;-;2
"421340 Ponte Serrada";1;-;-;1
"421350 Porto Belo";3;-;-;3
"421360 Porto União";1;-;-;1
"421370 Pouso Redondo";1;-;-;1
"421390 Presidente Castello Branco";1;-;-;1
"421400 Presidente Getúlio";2;-;-;2
"421410 Presidente Nereu";1;-;-;1
"421430 Rancho Queimado";-;-;1;1
"421460 Rio do Oeste";1;-;-;1
"421480 Rio do Sul";8;1;-;9
"421470 Rio dos Cedros";-;1;-;1
"421500 Rio Negrinho";5;-;-;5
"421510 Rodeio";2;-;-;2
"421530 Salete";2;-;-;2
"421545 Sangão";1;-;-;1
"421550 Santa Cecília";1;-;1;2
"421555 Santa Helena";1;-;-;1
"421565 Santa Rosa do Sul";2;-;-;2
"421570 Santo Amaro da Imperatriz";2;-;-;2
"421580 São Bento do Sul";6;1;1;8
"421605 São Cristovão do Sul";-;1;-;1
"421610 São Domingos";1;-;-;1
"421620 São Francisco do Sul";3;2;-;5
"421630 São João Batista";4;-;-;4
"421635 São João do Itaperiú";-;1;1;2
"421650 São Joaquim";5;-;-;5
"421660 São José";22;1;1;24
"421680 São José do Cerrito";1;-;-;1
"421690 São Lourenço do Oeste";2;-;-;2
"421700 São Ludgero";4;-;-;4
"421715 São Miguel da Boa Vista";1;-;-;1
"421720 São Miguel do Oeste";3;-;1;4
"421740 Schroeder";2;1;-;3
"421750 Seara";1;-;-;1
"421760 Siderópolis";2;-;-;2
"421770 Sombrio";3;-;-;3
"421780 Taió";5;1;-;6
"421800 Tijucas";4;1;-;5
"421810 Timbé do Sul";1;-;-;1
"421820 Timbó";1;-;-;1
"421860 Trombudo Central";1;-;-;1
"421870 Tubarão";5;-;-;5
"421880 Turvo";2;-;1;3
"421890 Urubici";2;-;-;2
"421895 Urupema";2;-;-;2
"421900 Urussanga";1;1;-;2
"421915 Vargem";1;-;-;1
"421920 Vidal Ramos";1;-;-;1
"421930 Videira";3;1;-;4
"421935 Vitor Meireles";1;-;-;1
"421950 Xanxerê";5;2;-;7
"421960 Xavantina";2;-;-;2
"421970 Xaxim";-;1;1;2
"430040 Alegrete";8;1;-;9
"430060 Alvorada";24;6;-;30
"430064 Ametista do Sul";2;-;-;2
"430070 Anta Gorda";1;-;-;1
"430080 Antônio Prado";2;-;-;2
"430087 Araricá";-;-;1;1
"430100 Arroio do Meio";3;-;-;3
"430105 Arroio do Sal";1;1;-;2
"430120 Arroio do Tigre";1;-;-;1
"430110 Arroio dos Ratos";1;-;-;1
"430130 Arroio Grande";1;-;-;1
"430140 Arvorezinha";1;1;-;2
"430150 Augusto Pestana";1;-;-;1
"430160 Bagé";20;-;-;20
"430170 Barão de Cotegipe";-;-;1;1
"430187 Barra do Quaraí";1;-;-;1
"430190 Barra do Ribeiro";1;-;-;1
"430210 Bento Gonçalves";12;1;-;13
"430220 Boa Vista do Buricá";2;-;-;2
"430225 Boa Vista do Sul";1;-;-;1
"430230 Bom Jesus";-;1;-;1
"430235 Bom Princípio";2;-;-;2
"430245 Boqueirão do Leão";2;-;-;2
"430258 Bozano";1;-;-;1
"430265 Brochier";1;-;-;1
"430270 Butiá";3;-;-;3
"430280 Caçapava do Sul";5;-;-;5
"430290 Cacequi";1;-;-;1
"430300 Cachoeira do Sul";4;-;2;6
"430310 Cachoeirinha";11;-;-;11
"430320 Cacique Doble";-;1;-;1
"430350 Camaquã";8;-;-;8
"430355 Camargo";-;-;1;1
"430390 Campo Bom";3;-;-;3
"430420 Candelária";2;-;-;2
"430440 Canela";3;-;1;4
"430450 Canguçu";7;-;-;7
"430460 Canoas";22;9;1;32
"430463 Capão da Canoa";9;-;-;9
"430465 Capão do Cipó";1;-;-;1
"430466 Capão do Leão";5;-;-;5
"430468 Capela de Santana";1;1;-;2
"430469 Capitão";1;-;-;1
"430467 Capivari do Sul";-;-;1;1
"430470 Carazinho";7;1;-;8
"430480 Carlos Barbosa";2;-;-;2
"430490 Casca";1;-;-;1
"430500 Catuípe";1;-;-;1
"430510 Caxias do Sul";37;2;4;43
"430512 Cerrito";-;1;-;1
"430513 Cerro Branco";1;-;-;1
"430520 Cerro Largo";1;-;-;1
"430530 Chapada";1;-;-;1
"430535 Charqueadas";1;-;-;1
"430544 Chuvisca";2;-;-;2
"430545 Cidreira";1;-;-;1
"430580 Constantina";2;-;-;2
"430583 Coqueiro Baixo";2;-;-;2
"430600 Crissiumal";1;-;1;2
"430610 Cruz Alta";5;-;-;5
"430620 Cruzeiro do Sul";1;-;-;1
"430630 David Canabarro";1;-;-;1
"430635 Dezesseis de Novembro";1;-;-;1
"430640 Dois Irmãos";5;-;-;5
"430650 Dom Feliciano";1;-;-;1
"430660 Dom Pedrito";2;-;-;2
"430655 Dom Pedro de Alcântara";1;-;-;1
"430676 Eldorado do Sul";3;-;-;3
"430690 Encruzilhada do Sul";2;-;-;2
"430693 Entre-Ijuís";1;-;-;1
"430700 Erechim";5;2;2;9
"430750 Espumoso";2;1;-;3
"430760 Estância Velha";6;-;-;6
"430770 Esteio";10;-;-;10
"430780 Estrela";3;-;-;3
"430790 Farroupilha";4;2;1;7
"430805 Faxinalzinho";1;-;-;1
"430807 Fazenda Vilanova";1;-;-;1
"430820 Flores da Cunha";4;-;-;4
"430830 Fontoura Xavier";1;-;-;1
"430850 Frederico Westphalen";-;1;-;1
"430860 Garibaldi";3;1;-;4
"430870 Gaurama";1;-;-;1
"430885 Gentil";1;-;-;1
"430890 Getúlio Vargas";2;-;-;2
"430900 Giruá";3;-;-;3
"430910 Gramado";3;-;-;3
"430915 Gramado Xavier";1;-;-;1
"430920 Gravataí";23;3;1;27
"430930 Guaíba";6;1;1;8
"430940 Guaporé";2;-;-;2
"430950 Guarani das Missões";-;-;1;1
"430957 Herveiras";1;-;-;1
"431000 Ibirubá";4;-;-;4
"431010 Igrejinha";3;1;-;4
"431020 Ijuí";9;1;-;10
"431030 Ilópolis";1;-;-;1
"431033 Imbé";3;-;-;3
"431046 Ipiranga do Sul";1;-;-;1
"431055 Itacurubi";1;-;-;1
"431060 Itaqui";8;-;-;8
"431080 Ivoti";2;-;-;2
"431100 Jaguarão";6;-;-;6
"431110 Jaguari";1;-;-;1
"431112 Jaquirana";-;1;-;1
"431115 Jóia";1;-;-;1
"431120 Júlio de Castilhos";3;-;-;3
"431127 Lagoa dos Três Cantos";1;-;-;1
"431130 Lagoa Vermelha";1;-;1;2
"431125 Lagoão";-;1;1;2
"431140 Lajeado";4;1;1;6
